Item,Price,Number,Total,Source URL,Notes
Wishes,,,,,
50 A5 wallets,£23.99,1,£23.99,https://www.amazon.co.uk/CKB-Vertical-Holders-Plastic-Portrait/dp/B0721YG8Y5/ref=sr_1_fkmr0_2?s=officeproduct&ie=UTF8&qid=1505812238&sr=1-2-fkmr0&keywords=id+card+holder+jumbo+horizontal,To hold the project cards
50 Badge holders,£6.99,4,£27.96,https://www.amazon.co.uk/dp/B011IF0OWE/ref=sxr_pa_click_within_right_1?pf_rd_m=A3P5ROKL5A1OLE&pf_rd_p=1485213147&pf_rd_r=HEM0QJX75YG280G856N3&pd_rd_wg=fByVu&pf_rd_s=desktop-rhs-carousels&pf_rd_t=301&pd_rd_w=OOTXw&pf_rd_i=id%2Bcard%2Bholder&pd_rd_r=9ZB8D1VR6YMB7FB6CCM0&th=1,To hold the contributor cards
Twine (200m per pack),£5.93,1,£5.93,https://www.amazon.co.uk/200m-Blue-White-Twine-wrapping/dp/B00IK024GA/ref=sr_1_cc_1?s=aps&ie=UTF8&qid=1505814435&sr=1-1-catcorr&keywords=200m+blue+and+White+Twine+-+use+as+bakers+twine%2C+garden+twine+or+gift+wrapping // ALTERNATIVE IS £7.75 for 80m https://www.amazon.co.uk/Nutscene-16-Twine-Spool-Multi-Colour/dp/B00992BEXM/ref=sr_1_8?s=kitchen&ie=UTF8&qid=1505814316&sr=1-8&keywords=coloured+string,To hang the project cards on the tree
Treasury tags (100/pk),£1.89,4,£7.56,https://www.amazon.co.uk/Essentials-76mm-Treasury-Tags-Pack/dp/B0031YHO8S/ref=sr_1_1?s=kitchen&ie=UTF8&qid=1505813932&sr=1-1&keywords=treasury+tags,To attached the contributor cards to the project cards
50 x printed A5 card templates for projects,£25.00,1,£25.00,estimate  -can buy blank card for £2.94/100 https://www.amazon.co.uk/148mm-210mm-Sheets-160gsm-Cardstock/dp/B00B1BTCH4/ref=pd_cp_229_1?_encoding=UTF8&psc=1&refRID=BYEQE3M5GZ5Y3HQCHPGZ,for project leads to write their project on
200 x printed contributor card templates (like business cards),£25.00,1,£25.00,estimate from Plan-IT,For contributors to write their details on
Coloured sharpies (24),£8.19,1,£8.19,https://www.amazon.co.uk/Sharpie-Fine-Point-Permanent-Marker/dp/B007QU7VIQ/ref=sr_1_1?s=officeproduct&ie=UTF8&qid=1505813614&sr=1-1&keywords=sharpies,for writing ^^
Black sharpies (12),£7.38,1,£7.38,https://www.amazon.co.uk/Sharpie-Permanent-Markers-Fine-Tip/dp/B000QW4W8I/ref=sr_1_7?s=officeproduct&ie=UTF8&qid=1505813658&sr=1-7&keywords=sharpies,for writing ^^
Biros,£2.00,1,£2.00,estimate,for writing ^^
Stickers,£5.00,2,£10.00,e.g. https://www.amazon.co.uk/Sticker-Solutions-Smiley-Star-Stickers/dp/B00TQT88Z0/ref=pd_sim_229_5?_encoding=UTF8&psc=1&refRID=E95Z4DRWQHGR7MMA0WEJ,(to add open source emoji flare)
,,,,,
,,Wishes subtotal,£143.01,,
,,,,,
,,Total,£143.01,,
